run iter 0
run iter 2
run iter 4
run iter 6
run iter 8
Good model: 13	Bad model: 10	Draws:177
         121942046 function calls (120868563 primitive calls) in 121.265 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.213    0.009    0.213    0.009 {method 'uniform_' of 'torch._C._TensorBase' objects}
   271899    0.212    0.000    0.212    0.000 __init__.py:1410(__init__)
   429919    0.211    0.000    0.211    0.000 __init__.py:3168(is_zeroing)
3081322/3080814    0.197    0.000    0.197    0.000 {built-in method builtins.hash}
  3687847    0.195    0.000    0.195    0.000 typing.py:2233(cast)
   273168    0.146    0.000    0.192    0.000 __init__.py:3620(_from_chess960)
    60935    0.120    0.000    0.190    0.000 <frozen os>:674(__getitem__)
  1641831    0.179    0.000    0.179    0.000 single_chess.py:46(<lambda>)
   849431    0.179    0.000    0.179    0.000 {built-in method numpy.empty}
    61853    0.062    0.000    0.174    0.000 __init__.py:3529(_generate_evasions)
        6    0.000    0.000    0.173    0.029 linear.py:90(__init__)
        6    0.000    0.000    0.172    0.029 linear.py:103(reset_parameters)
   738933    0.148    0.000    0.148    0.000 {method 'split' of 'str' objects}
  1939304    0.147    0.000    0.147    0.000 {method 'upper' of 'str' objects}
2927/2871    0.030    0.000    0.144    0.000 {built-in method builtins.__build_class__}
    54739    0.141    0.000    0.141    0.000 single_chess.py:39(<listcomp>)
     1301    0.003    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
  1745855    0.139    0.000    0.139    0.000 __init__.py:211(square_file)
   181911    0.093    0.000    0.138    0.000 batchnorm.py:408(_check_input_dim)
     1365    0.008    0.000    0.138    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        5    0.000    0.000    0.134    0.027 functional.py:1(<module>)
    60709    0.056    0.000    0.133    0.000 grad_mode.py:57(__exit__)
   158020    0.130    0.000    0.130    0.000 __init__.py:1430(restore)
   981239    0.129    0.000    0.129    0.000 __init__.py:3212(clean_castling_rights)
   159868    0.098    0.000    0.128    0.000 __init__.py:3649(_transposition_key)
1350/1225    0.002    0.000    0.127    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
   137281    0.033    0.000    0.124    0.000 {built-in method builtins.all}
   121648    0.085    0.000    0.124    0.000 grad_mode.py:149(__init__)
     1346    0.001    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
     1346    0.003    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
   567148    0.118    0.000    0.119    0.000 {method 'join' of 'str' objects}
     1301    0.002    0.000    0.116    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
    54857    0.113    0.000    0.113    0.000 {built-in method numpy.array}
   233719    0.065    0.000    0.112    0.000 __init__.py:1978(<genexpr>)
     1301    0.112    0.000    0.112    0.000 {built-in method marshal.loads}
     1757    0.011    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     1301    0.109    0.000    0.109    0.000 {built-in method io.open_code}
    60709    0.053    0.000    0.109    0.000 grad_mode.py:53(__enter__)
    60717    0.102    0.000    0.109    0.000 grad_mode.py:48(__init__)
    60637    0.106    0.000    0.106    0.000 {built-in method numpy.zeros}
   155887    0.087    0.000    0.102    0.000 __init__.py:3173(_reduces_castling_rights)
