   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1840    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.018    0.018 slice.py:1(<module>)
        1    0.000    0.000    0.018    0.018 const_fold.py:1(<module>)
        2    0.000    0.000    0.017    0.009 overrides.py:1(<module>)
       86    0.004    0.000    0.017    0.000 conflict.py:62(<listcomp>)
      414    0.011    0.000    0.017    0.000 doccer.py:180(indentcount_lines)
       26    0.000    0.000    0.017    0.001 inspect.py:1235(getsourcelines)
        1    0.000    0.000    0.017    0.017 matexpr.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _script.py:1(<module>)
        3    0.000    0.000    0.017    0.006 _distributor_init.py:1(<module>)
        2    0.000    0.000    0.017    0.008 function.py:1(<module>)
       38    0.000    0.000    0.017    0.000 __init__.py:342(__init__)
     1464    0.015    0.000    0.016    0.000 _ops.py:239(__init__)
        1    0.000    0.000    0.016    0.016 polyerrors.py:1(<module>)
       20    0.000    0.000    0.016    0.001 _docscrape.py:563(__init__)
        1    0.000    0.000    0.016    0.016 __init__.py:159(_load_global_deps)
        2    0.000    0.000    0.016    0.008 platform.py:919(system)
        3    0.000    0.000    0.016    0.005 platform.py:830(uname)
        1    0.000    0.000    0.016    0.016 platform.py:363(win32_ver)
        1    0.000    0.000    0.016    0.016 platform.py:263(_syscmd_ver)
        1    0.000    0.000    0.016    0.016 subprocess.py:417(check_output)
        1    0.000    0.000    0.016    0.016 subprocess.py:506(run)
        6    0.000    0.000    0.016    0.003 rnn.py:1(<module>)
       37    0.016    0.000    0.016    0.000 {built-in method _ctypes.LoadLibrary}
      209    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      871    0.003    0.000    0.016    0.000 typing.py:1346(__init__)
        1    0.000    0.000    0.016    0.016 _minimize.py:1(<module>)
     4095    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      126    0.001    0.000    0.015    0.000 _distn_infrastructure.py:698(_construct_argparser)
     1411    0.015    0.000    0.015    0.000 {built-in method torch._C.impl}
        1    0.000    0.000    0.015    0.015 _hypotests.py:1(<module>)
      227    0.001    0.000    0.015    0.000 function.py:162(__init__)
        1    0.000    0.000    0.015    0.015 windows_events.py:1(<module>)
        1    0.000    0.000    0.015    0.015 bsplines.py:1(<module>)
        1    0.000    0.000    0.015    0.015 products.py:1(<module>)
      778    0.015    0.000    0.015    0.000 {built-in method torch._C._jit_get_operation}
        1    0.000    0.000    0.015    0.015 find_first_use_of_broken_modules.py:1(<module>)
  485/339    0.000    0.000    0.015    0.000 typing.py:476(__getitem__)
        1    0.000    0.000    0.015    0.015 graph_module.py:1(<module>)
       19    0.000    0.000    0.015    0.001 _distn_infrastructure.py:3173(__init__)
        4    0.000    0.000    0.014    0.004 graph.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _pickle.py:1(<module>)
        1    0.000    0.000    0.014    0.014 client.py:1(<module>)
       20    0.000    0.000    0.014    0.001 _docscrape.py:140(__init__)
    12694    0.003    0.000    0.014    0.000 conflict.py:43(edge)
     1840    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      126    0.000    0.000    0.014    0.000 _distn_infrastructure.py:684(_attach_argparser_methods)
        1    0.000    0.000    0.013    0.013 reusable_executor.py:1(<module>)
        1    0.000    0.000    0.013    0.013 power.py:1(<module>)
      107    0.001    0.000    0.013    0.000 _distn_infrastructure.py:1857(_attach_methods)
        1    0.000    0.000    0.013    0.013 _code_flow.py:1(<module>)
        1    0.000    0.000    0.013    0.013 process_executor.py:1(<module>)
      339    0.001    0.000    0.013    0.000 typing.py:653(Union)
     2779    0.007    0.000    0.013    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.012    0.012 subprocess.py:1165(communicate)
        1    0.000    0.000    0.012    0.012 datapipe.py:1(<module>)
        1    0.000    0.000    0.012    0.012 summations.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _thread_flow.py:1(<module>)
      227    0.001    0.000    0.012    0.000 function.py:122(arity)
        1    0.000    0.000    0.012    0.012 nvfuser_prims.py:806(register_nvprims)
        2    0.012    0.006    0.012    0.006 {method 'read' of '_io.TextIOWrapper' objects}
     2140    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       26    0.001    0.000    0.012    0.000 inspect.py:1224(getblock)
        2    0.000    0.000    0.012    0.006 dense.py:1(<module>)
      104    0.000    0.000    0.012    0.000 _compiler.py:571(_code)
        6    0.000    0.000    0.012    0.002 common.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _linprog.py:1(<module>)
      134    0.004    0.000    0.011    0.000 __init__.py:348(namedtuple)
      123    0.000    0.000    0.011    0.000 dataclasses.py:588(_repr_fn)
        1    0.000    0.000    0.011    0.011 _thread_flow_location.py:1(<module>)
       55    0.000    0.000    0.011    0.000 __init__.py:388(inner)
        6    0.000    0.000    0.011    0.002 conv.py:1(<module>)
    15201    0.008    0.000    0.011    0.000 conflict.py:7(supercedes)
        2    0.000    0.000    0.011    0.006 memory.py:1(<module>)
     3834    0.007    0.000    0.011    0.000 inspect.py:2686(__init__)
        1    0.000    0.000    0.011    0.011 _conversion.py:1(<module>)
        4    0.000    0.000    0.011    0.003 basic.py:1(<module>)
    10284    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.011    0.011 index_tricks.py:1(<module>)
        1    0.000    0.000    0.011    0.011 matmul.py:1(<module>)
93005/92663    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.011    0.011 symbolic_caffe2.py:1(<module>)
      123    0.000    0.000    0.011    0.000 dataclasses.py:624(_cmp_fn)
        1    0.000    0.000    0.010    0.010 windows_utils.py:1(<module>)
     2038    0.010    0.000    0.010    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
     1319    0.003    0.000    0.010    0.000 tokenize.py:433(_tokenize)
       20    0.000    0.000    0.010    0.001 _docscrape.py:371(_parse)
148537/147501    0.010    0.000    0.010    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.010    0.010 parser.py:1(<module>)
    11340    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       36    0.000    0.000    0.010    0.000 __init__.py:893(inner)
        1    0.000    0.000    0.010    0.010 _morestats.py:1(<module>)
    50860    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.010    0.010 tempfile.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _external_properties.py:1(<module>)
        1    0.000    0.000    0.010    0.010 node.py:1(<module>)
      222    0.001    0.000    0.010    0.000 wrappers.py:191(_out_wrapper)
        6    0.000    0.000    0.010    0.002 linear_relu.py:1(<module>)
        1    0.000    0.000    0.010    0.010 py3k.py:1(<module>)
   107978    0.010    0.000    0.010    0.000 __init__.py:215(square_rank)
        1    0.000    0.000    0.009    0.009 _root.py:1(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
  968/104    0.004    0.000    0.009    0.000 _compiler.py:37(_compile)
      209    0.009    0.000    0.009    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.009    0.009 union.py:1(<module>)
        3    0.000    0.000    0.009    0.003 profiler.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
        2    0.000    0.000    0.009    0.004 quantization_mappings.py:1(<module>)
        3    0.000    0.000    0.009    0.003 _basic.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _interpolate.py:1(<module>)
     2035    0.006    0.000    0.009    0.000 inspect.py:2972(__init__)
        2    0.000    0.000    0.009    0.004 serialization.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _recursive.py:1(<module>)
      126    0.000    0.000    0.009    0.000 _distn_infrastructure.py:632(__init__)
   122718    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
      209    0.001    0.000    0.009    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.009    0.009 games.py:254(__init__)
      209    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
3578/3377    0.005    0.000    0.009    0.000 {built-in method __new__ of type object at 0x00007FF9E7129BB0}
        1    0.000    0.000    0.008    0.008 _rotation_groups.py:1(<module>)
    22362    0.004    0.000    0.008    0.000 {built-in method builtins.all}
     4095    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:100(acquire)
      189    0.000    0.000    0.008    0.000 library.py:50(define)
        3    0.000    0.000    0.008    0.003 _base.py:1(<module>)
   107908    0.008    0.000    0.008    0.000 __init__.py:211(square_file)
        2    0.000    0.000    0.008    0.004 utilities.py:1(<module>)
      189    0.008    0.000    0.008    0.000 {built-in method torch._C.define}
       97    0.001    0.000    0.008    0.000 __init__.py:427(_make_inplace)
        4    0.000    0.000    0.008    0.002 random.py:1(<module>)
        1    0.001    0.001    0.008    0.008 games.py:276(<dictcomp>)
        2    0.000    0.000    0.008    0.004 matrices.py:1(<module>)
     2049    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
     6371    0.004    0.000    0.008    0.000 typing.py:1290(__setattr__)
     6902    0.008    0.000    0.008    0.000 {method 'rfind' of 'str' objects}
     1735    0.004    0.000    0.008    0.000 typing.py:168(_type_check)
       19    0.000    0.000    0.008    0.000 _distn_infrastructure.py:3234(_construct_docstrings)
    26593    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.008    0.008 package_exporter.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
    50202    0.008    0.000    0.008    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.007    0.007 _multivariate.py:1(<module>)
        1    0.000    0.000    0.007    0.007 algebraicfield.py:1(<module>)
        1    0.000    0.000    0.007    0.007 simplify.py:1(<module>)
        4    0.000    0.000    0.007    0.002 eigen.py:1(<module>)
      334    0.001    0.000    0.007    0.000 textwrap.py:419(dedent)
     1464    0.007    0.000    0.007    0.000 {built-in method torch._C._get_operation_overload}
        1    0.000    0.000    0.007    0.007 _policybase.py:1(<module>)
     1714    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        1    0.000    0.000    0.007    0.007 _geometric_slerp.py:1(<module>)
      391    0.001    0.000    0.007    0.000 typing.py:1565(copy_with)
        1    0.000    0.000    0.007    0.007 _tensor.py:1(<module>)
        1    0.000    0.000    0.007    0.007 error_functions.py:1(<module>)
      245    0.001    0.000    0.007    0.000 typing.py:1556(__getitem__)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
      119    0.000    0.000    0.007    0.000 linecache.py:36(getlines)
     4095    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
        2    0.000    0.000    0.007    0.003 exponential.py:1(<module>)
       60    0.000    0.000    0.007    0.000 linecache.py:80(updatecache)
       47    0.000    0.000    0.007    0.000 __init__.py:424(_make_elementwise_unary_prim)
      146    0.000    0.000    0.007    0.000 typing.py:697(Optional)
        2    0.000    0.000    0.007    0.003 distance.py:1(<module>)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
        1    0.000    0.000    0.007    0.007 pretty.py:1(<module>)
     9018    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
        5    0.000    0.000    0.006    0.001 version.py:1(<module>)
        1    0.000    0.000    0.006    0.006 polyclasses.py:1(<module>)
       15    0.000    0.000    0.006    0.000 traceback.py:220(extract_stack)
        1    0.000    0.000    0.006    0.006 trigonometric.py:1(<module>)
      136    0.006    0.000    0.006    0.000 {built-in method builtins.eval}
       15    0.000    0.000    0.006    0.000 traceback.py:375(extract)
        1    0.000    0.000    0.006    0.006 limits.py:1(<module>)
       15    0.000    0.000    0.006    0.000 traceback.py:397(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.006    0.006 net_min_base.py:1(<module>)
      663    0.002    0.000    0.006    0.000 dataclasses.py:723(_get_field)
     1968    0.003    0.000    0.006    0.000 __init__.py:561(from_uci)
        1    0.000    0.000    0.006    0.006 evalf.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _result.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _tool.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ode.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _memory_profiler.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _minpack_py.py:1(<module>)
       61    0.001    0.000    0.006    0.000 enum.py:496(__new__)
        3    0.000    0.000    0.006    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.006    0.006 symbol.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tokenize.py:99(_compile)
   107789    0.006    0.000    0.006    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.006    0.006 _filters.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _resampling.py:1(<module>)
        1    0.000    0.000    0.006    0.006 autograd_function.py:1(<module>)
    27846    0.006    0.000    0.006    0.000 assumptions.py:489(as_property)
     1898    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:71(__init__)
     1048    0.005    0.000    0.006    0.000 _ops.py:314(inner)
      871    0.001    0.000    0.006    0.000 typing.py:1251(__init__)
      314    0.001    0.000    0.005    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.005    0.005 minpoly.py:1(<module>)
        1    0.000    0.000    0.005    0.005 gmpy.py:1(<module>)
     1955    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:173(__exit__)
      210    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
     9053    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
        2    0.000    0.000    0.005    0.003 _matfuncs.py:1(<module>)
       26    0.000    0.000    0.005    0.000 inspect.py:1055(findsource)
      115    0.000    0.000    0.005    0.000 _docscrape.py:195(_read_to_next_section)
    22526    0.005    0.000    0.005    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.005    0.005 _misc.py:1(<module>)
